,UserID,Date,Change Description,Reason for change
0,mosr49,2012-05-08 00:00:00,Added change log tab,
1,mosr49,2012-05-08 00:00:00,Removed access-list 66 permit 136.226.250.0 0.0.0.255,Subnet no longer requires SNMP access
2,mosr49,2012-05-25 00:00:00,Updated Tacacs-server host to Tacacs-server key on Router & Switch tab,Text was incorrect
3,mosr49,2012-05-25 00:00:00,Added configuration to support the addition of CER servers to the RO SNMP string (Switch Config only),Increased use of CER which needs RO SNMP
4,mosr49,2012-11-27 00:00:00,Updated enable secret,Changed enable secret in PWD Vault
5,ortass,2012-12-07 00:00:00,fixed enable secret,
6,mosr49,2012-12-12 00:00:00,"Added Netflow version selection, added 159.163.232.4 to ACL 66",Cascade deployment in AP
7,ortass,2012-03-25 00:00:00,rapid spanning tree & canada tools,
8,ortass,2013-03-26 00:00:00,change AP netflow server destionation per schmidt,
9,ortass,2013-04-11 00:00:00,update tacacs PW for North America,
10,ortass,2013-04-12 00:00:00,"new aaa commands, North America tacacs server",
11,ortass,2013-04-15 00:00:00,updated calgary netflow server,
12,ortass,2013-04-15 00:00:00,remove 158.139.193.0 0.0.0.15 from ACL 67,
13,ortass,2013-04-15 00:00:00,new enable secret & added tombstone,
14,ortass,2013-04-16 00:00:00,updated canada RW server,
15,ortass,2013-04-30 00:00:00,updated snmp strings,
16,ortass,2013-05-13 00:00:00,updated aaa and remove snmp chassis-id and location,
17,ortass,2013-06-03 00:00:00,updated acl 66 for Alaska CW,
18,ortass,2013-06-05 00:00:00,updated nexus snmp strings,
19,ortass,2013-06-10 00:00:00,updated TACACS for all regions,
20,ortass,2013-07-08 00:00:00,updated EMEA & Norway TACACS,
21,ortass,2013-07-10 00:00:00,added Netflow tab,
22,ortass,2013-10-02 00:00:00,updated tacacs default line per Eugene,
23,ortass,2013-10-22 00:00:00,"tacasc key changed to encrypted & ""local line"" added in switch aaa default group",
24,ortass,2013-10-25 00:00:00,added 3rd tacacs server to NXOS,
25,ortass,2013-11-21 00:00:00,change calgary ACS server & dns,
26,ortass,2013-11-27 00:00:00,added tacacs accounting commands,
27,ortass,2014-01-21 00:00:00,fixed Nexus TACACS key,
28,ortass,2014-01-28 00:00:00,added NAC tab and Arista tab,
29,ortass,2014-06-30 00:00:00,update enable secret.  Added bvlcer1 to acl 66,
30,ortass,2014-07-09 00:00:00,added Canada CW,
31,ortass,2014-07-10 00:00:00,added switch dhcp command to fix new cisco feature that is keeping dhcp from working.,
32,ortass,2014-07-29 00:00:00,updated time recurrence parameters and added netflow interface command ~line 150,
33,ortass,2014-08-13 00:00:00,adding ssh commands,
34,berryrd,2014-10-20 00:00:00,modified NxOS logging command to use-vrf default ,
35,berryrd,2014-10-21 00:00:00,added aaa authorization to NxOS,
36,ortass,2014-10-21 00:00:00,updated enable secret,
37,ortass,2014-10-28 00:00:00,"removed ""no domain-name""",
38,berryrd,2015-01-21 00:00:00,updated Interfaces qos configuration,
39,berryrd,2015-01-21 00:00:00,added command to enable qos,
40,berryrd`,2015-02-02 00:00:00,updated NxOS authorization to use local when all of configured methods do not respond,
41,ortass,2015-02-04 00:00:00,added dhcp snooping for all vlans,
42,ortass,2015-02-11 00:00:00,move dhcp snooping to switch config tab from interface tab,
43,ortass,2015-03-13 00:00:00,updated AK tacacs,
44,ortass,2015-05-20 00:00:00,added Rendevous Point for Bartlesville & Houston,
45,ortass,2015-06-18 00:00:00,adding ip device tracking to switch,error with devices booting
46,ortass,2015-06-22 00:00:00,fixed EMEA tacacs,
47,ortass,2015-07-16 00:00:00,updated enable secret,
48,ortass,2015-08-24 00:00:00,added priv 15 to tombstone account,
49,ortass,2015-10-09 00:00:00,correct Norway time information in parameters tab,
50,ortass,2015-10-12 00:00:00,updated ACL 66 to be regional,
51,ortass,2015-10-23 00:00:00,updated AP neflow to 159.163.253.176 2055,
52,ortass,2015-10-26 00:00:00,updated enable secret,
53,ortass,2015-10-27 00:00:00,updated NAC banner,
54,ortass,2015-11-02 00:00:00,update AP hubs into region selection - updated for Norway TDE/TCE,
55,ortass,2015-11-13 00:00:00,updated AK ACL 66,
56,ortass,2015-11-18 00:00:00,updated canada ACL 66,
57,ortass,2016-01-08 00:00:00,updated with timezone pick,
58,ortass,2016-01-25 00:00:00,updated ACL 66 for NAC globally,
59,ortass,2016-01-26 00:00:00,"added a few default parameters, ftp source, ssh source - expanded the vty line coverage",
60,ortass,2016-01-27 00:00:00,updated AK NTP servers per Sam,
61,ortass,2016-02-17 00:00:00,updated norway parts for aaa.  Updated timezone fix,
62,ortass,2016-03-15 00:00:00,updated EMEA DNS,
63,ortass,2016-03-22 00:00:00,updated flexible netflow,
64,ortass,2015-04-04 00:00:00,updated enable secret,
65,ortass,2016-04-11 00:00:00,updated nexus snmp,
66,ortass,2016-06-03 00:00:00,added bgp snmp trap,
67,ortass,2016-07-26 00:00:00,updated enable secret / tombstone & removed telnet from vty lines,
68,ortass,2016-08-12 00:00:00,nxos tombstone set to network-admin,
69,ortass,2016-09-19 00:00:00,added prime RW server to L48,
70,ortass,2016-10-04 00:00:00,updated password,
71,ortass,2016-10-18 00:00:00,choice for extended VTY lines,
72,ortass,2016-11-18 00:00:00,"nexus config - removed telnet, updated ACL, and clock",
73,ortass,2016-12-06 00:00:00,added perth cascade to acl 66 & sflow config,
74,ortass,2016-12-19 00:00:00,change EMEA NTP,
75,ortass,2017-02-01 00:00:00,remove telnet tos,
76,ortass,2017-02-17 00:00:00,added switch aux port,
77,ortass,2017-02-13 00:00:00,updated enable secret,
78,dietzkr,2017-04-25 00:00:00,updated flexible netflow,
79,dietzkr,2017-05-24 00:00:00,added SNMP locations and New Timezones,
80,dietzkr,2017-05-24 00:00:00,added new access-list 66 entry for Alaska and new logging servers for Alaska,
81,dietzkr,2017-05-24 00:00:00,added ip address for Prime as a standard logging server,
82,dietzkr,2017-06-14 00:00:00,"added ""158.139.170.24 0.0.0.3"" to ACL 67",
83,dietzkr,2017-06-27 00:00:00,added more modern radius server config in NAC tab also parametized based on region,
84,dietzkr,2017-06-27 00:00:00,updated lookup table to include Canada's ISE servers,
85,dietzkr,2017-07-18 00:00:00,updated timezones to include EST and JST,
