,Unnamed: 0,Region,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Bartlesville,Houston,Alaska,Canada,EMEA,Norway,Norway TDE-CDE,AP - Australia hub,AP - Jakarta hub,AP - other
1,DNS,158.139.212.31,158.139.110.76,10.25.52.31,155.191.182.135,153.15.10.100,153.15.10.100,153.15.10.100,159.163.89.130,159.163.136.230,159.163.254.12
2,,158.139.110.76,158.139.212.31,10.26.15.40,158.139.212.31,10.162.72.10,10.162.72.10,10.162.72.10,159.163.254.12,159.163.254.12,159.163.89.130
3,,,,,,,,,,,
4,"Extra Logging/CiscoWorks
(these are in addition to the Prime IP's already defined in the Parameters tab)",,,10.26.15.10,,,,153.15.192.100,,,
5,,,,10.25.52.9,,,,,,,
6,,,,,,,,,,,
7,TACACS,BVLISETACPSN,BVLISETACPSN,NSKISETACPSN,CQ9ISETACPSN,SVGISETACPSN,SVGISETACPSN,SVGISETACPSN,STTISETACPSN,STTISETACPSN,STTISETACPSN
8,,158.139.170.16,158.139.170.16,10.26.60.20,155.191.182.137,153.15.20.251,153.15.20.251,153.15.20.251,10.94.12.26,10.94.12.26,10.94.12.26
9,,CQ9ISETACPSN,CQ9ISETACPSN,BVLISETACPSN,BVLISETACPSN,BVLISETACPSN,BVLISETACPSN,BVLISETACPSN,BVLISETACPSN,BVLISETACPSN,BVLISETACPSN
10,,155.191.182.137,155.191.182.137,158.139.170.16,158.139.170.16,158.139.170.16,158.139.170.16,158.139.170.16,158.139.170.16,158.139.170.16,158.139.170.16
11,,NSKISETACPSN,NSKISETACPSN,CQ9ISETACPSN,NSKISETACPSN,CQ9ISETACPSN,CQ9ISETACPSN,CQ9ISETACPSN,CQ9ISETACPSN,CQ9ISETACPSN,CQ9ISETACPSN
12,,10.26.60.20,10.26.60.20,155.191.182.137,10.26.60.20,155.191.182.137,155.191.182.137,155.191.182.137,155.191.182.137,155.191.182.137,155.191.182.137
13,NTP,158.139.0.137,158.139.0.139,158.139.0.139,155.191.128.133,153.15.14.45,153.15.14.45,153.15.14.45,159.163.255.252,159.163.255.252,159.163.255.252
14,,158.139.0.138,158.139.0.140,158.139.0.140,155.191.128.134,153.15.14.46,153.15.14.46,153.15.14.46,159.163.255.253,159.163.255.253,159.163.255.253
15,,158.139.0.139,158.139.0.137,158.139.0.137,158.139.0.139,,,,,,
16,,158.139.0.140,158.139.0.138,158.139.0.138,158.139.0.137,,,,,,
17,"SNMP Read/Write
Host or Network",158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3,158.139.170.24 0.0.0.3
18,,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218,158.139.2.218
19,,,,,,,,,,,
20,,,,,,,,,,,
21,CER Server,,,,155.191.129.228,,,,,,
22,,,,,155.191.192.148,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,ISE Servers,158.139.104.12,158.139.2.206,10.25.32.7,155.191.182.157,153.15.20.244,153.15.20.244,153.15.20.244,159.163.81.100,159.163.253.88,159.163.253.88
26,,158.139.104.13,158.139.2.207,158.139.2.206,158.139.104.14,153.15.20.245,153.15.20.245,153.15.20.245,159.163.253.88,159.163.81.100,159.163.81.100
27,,158.139.2.206,158.139.104.14,158.139.2.207,158.139.2.207,10.162.72.11,10.162.72.11,10.162.72.11,,,
28,,,,,,,,,,,
29,Chosen Netflow,158.139.170.35 9995,158.139.170.35 9995,10.26.15.71 9995,155.191.182.158 9995,153.15.20.240 9995,153.15.20.240 9995,153.15.192.106 9995,10.94.12.69 9995,10.94.12.69 9995,10.94.12.69 9995
30,TACACS key,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX,XXXXXXXXXXX
31,Nexus TACACS key,"7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX""","7 ""XXXXXXXXXXX"""
32,multicast RP,158.139.0.4,158.139.0.255,,,,153.15.192.61,153.15.192.61,,,
33,"SNMP Read Only
Host / Network",158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255,158.139.195.0 0.0.0.255
34,,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63,158.139.170.0 0.0.0.63
35,,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127,158.139.162.0 0.0.0.127
